true_speaker,pred_speaker,count
BJL0,CRZ0,2
VKB0,PAC0,2
BSB0,LJH0,2
JSP0,KSR0,1
VFB0,GDP0,1
VMH0,EAC0,1
CPM0,TPR0,1
DAC0,JHI0,1
JEB1,BGT0,1
KLW0,JRG0,1
MRP0,RDM0,1
PGH0,BCG0,1
PGH0,PAR0,1
RCG0,JWB1,1
RWS0,RDD0,1
RWS0,DSS0,1
CAJ0,ECD0,1
JKL0,RLL0,1
JKL0,HLM0,1
LMC0,HXS0,1
