true_speaker,pred_speaker,count
LHD0,MPG0,2
CJF0,SAK0,1
JSP0,MJF0,1
KFB0,LMC0,1
SJK1,JSK0,1
VMH0,EAC0,1
CPM0,TPR0,1
DPK0,DSJ0,1
EDR0,RVG0,1
JEB1,DLH0,1
KLS0,BTH0,1
KLW0,SRG0,1
MRP0,ESG0,1
MRP0,KDT0,1
PGH0,DPS0,1
PGH0,DLH0,1
PSW0,APV0,1
RDD0,AEB0,1
RWS0,APV0,1
RWS0,DSS0,1
