true_speaker,pred_speaker,count
TBC0,RPC1,2
TQC0,DEM0,2
CHL0,DEM0,2
JXA0,JHI0,2
CJF0,CKE0,1
CJF0,SMA0,1
JSP0,LTM0,1
JSP0,MJF0,1
KFB0,SRH0,1
SAH0,LAG0,1
TBR0,JEN0,1
VFB0,LJD0,1
VMH0,SKP0,1
CPM0,RHL0,1
DAC0,DPS0,1
DPK0,DSJ0,1
EDR0,JDC0,1
JEB1,DLH0,1
KLS0,DEM0,1
KLS0,TBW0,1
