true_speaker,pred_speaker,count
MMH0,LMA0,2
TMG0,LMA0,2
CSS0,DSS1,2
MAH1,SRH0,2
CJF0,HLM0,1
CJF0,LOD0,1
ECD0,RJB0,1
JSP0,PAD0,1
JSP0,JSK0,1
SAH0,MJB0,1
SAH0,MJU0,1
SJK1,VMH0,1
SMA0,CJF0,1
VFB0,LEH0,1
VFB0,CRZ0,1
VMH0,EAC0,1
CPM0,TPR0,1
DAC0,HMG0,1
DPK0,RKM0,1
EDR0,LNS0,1
