true_speaker,pred_speaker,count
GSH0,DSJ0,2
VKB0,PAC0,2
BSB0,LJH0,2
DML0,BAS0,1
JSP0,DJH0,1
JSP0,JSK0,1
KFB0,PAB1,1
SAH0,MJU0,1
VMH0,LOD0,1
CPM0,TPR0,1
DAC0,HMG0,1
DPK0,DSJ0,1
EDR0,JRH0,1
JEB1,VJH0,1
KLW0,CDD0,1
MRP0,RGM0,1
MRP0,DSS0,1
PGR0,DPK0,1
RAI0,BCG0,1
RWS0,WDK0,1
